ingresos,gasto_ppal,vehiculo,otros_gastos,ahorros,Valor_vivienda,estado_civil,hijos,trabajo,comprara
4799,1344,205,339,11116,240479,Separado,3,Tipo 6,Si
3976,1153,394,366,11697,218574,Casado,0,Tipo 3,No
3299,627,155,526,11972,220179,Separado,4,Tipo 8,No
4224,972,428,718,18604,316114,Casado,1,Tipo 6,No
3000,600,200,398,27572,254359,Soltero,0,Tipo 2,No
2828,707,364,631,36993,394390,Soltero,0,Tipo 0,No
2825,904,247,693,16953,257331,Separado,2,Tipo 7,No
4426,1328,152,480,11593,245454,Separado,1,Tipo 7,Si
4532,816,224,383,13921,245131,Soltero,0,Tipo 2,Si
2448,636,158,638,32723,362523,Soltero,0,Tipo 4,No
4517,1310,89,529,25960,227634,Separado,2,Tipo 6,Si
4505,1171,343,627,37943,266595,Soltero,0,Tipo 4,No
3080,585,285,521,16260,377254,Soltero,0,Tipo 4,No
3543,992,91,372,30918,327691,Casado,4,Tipo 6,No
2039,387,258,362,25537,210701,Soltero,0,Tipo 4,No
3437,687,201,735,21260,339501,Separado,2,Tipo 5,No
6500,1100,0,700,55000,380000,Separado,1,Tipo 5,Si
6332,1266,32,252,55641,665167,Casado,0,Tipo 3,No
7289,1458,209,243,41233,488643,Separado,1,Tipo 5,Si
5552,999,338,564,52012,385908,Separado,2,Tipo 8,Si
7420,1336,243,660,39328,655720,Separado,0,Tipo 4,No
6205,1179,240,729,56904,661009,Soltero,0,Tipo 2,No
6771,1354,38,789,64860,271947,Casado,1,Tipo 5,Si
6813,1090,312,208,54305,635848,Soltero,0,Tipo 2,No
6152,984,343,793,42935,403197,Casado,4,Tipo 8,Si
6906,898,319,656,59305,365986,Separado,4,Tipo 5,Si
7595,1367,292,406,38286,608743,Separado,0,Tipo 3,No
6355,953,135,740,38235,343128,Soltero,0,Tipo 1,Si
5862,762,249,334,40529,443477,Soltero,0,Tipo 4,No
5468,1094,337,221,61055,303294,Soltero,0,Tipo 4,Si
7011,1262,11,393,40803,555296,Separado,4,Tipo 7,Si
6744,1079,200,576,40679,446206,Casado,1,Tipo 8,Si
6806,1361,320,437,40751,283936,Separado,3,Tipo 6,Si
6194,991,339,624,55269,519377,Separado,3,Tipo 5,No
5656,905,259,543,57625,657229,Casado,1,Tipo 6,No
5730,860,338,295,53734,601935,Casado,2,Tipo 6,No
5717,1143,141,214,55043,359875,Casado,4,Tipo 7,Si
7138,1356,27,209,64027,427780,Casado,2,Tipo 5,Si
6762,1285,338,215,61728,636597,Separado,0,Tipo 3,No
5813,756,108,500,58055,328265,Separado,1,Tipo 5,Si
5415,1083,84,754,68327,345689,Casado,2,Tipo 5,Si
5572,1114,87,727,56337,559220,Separado,3,Tipo 5,No
6412,769,137,510,47203,311855,Casado,3,Tipo 5,Si
6503,1301,295,716,55798,279795,Casado,4,Tipo 6,Si
5558,889,168,679,61867,449413,Casado,2,Tipo 5,Si
7063,918,293,364,63395,278315,Casado,2,Tipo 8,Si
6222,809,270,810,41483,455865,Soltero,0,Tipo 4,No
6325,1139,102,754,68527,588004,Soltero,0,Tipo 0,No
6264,1065,197,644,55703,431159,Casado,0,Tipo 0,No
5593,839,121,416,44487,539242,Casado,0,Tipo 0,No
5514,772,147,672,67815,397838,Soltero,0,Tipo 0,No
6347,1016,13,268,41468,552796,Soltero,0,Tipo 1,No
6058,969,289,531,50014,455751,Casado,2,Tipo 7,Si
7877,1339,332,617,56941,300240,Casado,2,Tipo 7,Si
5848,819,168,652,69366,559906,Separado,2,Tipo 5,No
7758,1086,70,230,51489,445679,Soltero,0,Tipo 3,Si
6384,958,346,549,40804,333566,Casado,4,Tipo 7,Si
7777,1089,213,564,43472,303736,Casado,0,Tipo 4,Si
7505,1501,302,364,38328,487697,Separado,1,Tipo 8,Si
5791,811,208,417,40166,643683,Casado,0,Tipo 4,No
5646,1016,215,747,69276,655399,Soltero,0,Tipo 1,No
6495,909,341,788,62320,625528,Separado,4,Tipo 6,No
5264,1053,17,691,57408,364105,Casado,3,Tipo 8,Si
7033,1196,294,216,61329,667865,Separado,0,Tipo 2,No
5502,715,299,705,48264,561852,Soltero,0,Tipo 4,No
6935,971,99,425,65541,662258,Soltero,0,Tipo 1,No
3586,932,81,382,35361,242562,Soltero,0,Tipo 3,No
4883,1025,25,444,27294,244767,Separado,1,Tipo 5,Si
4885,928,8,670,16671,181736,Soltero,0,Tipo 0,No
4403,1497,18,384,37034,391533,Soltero,0,Tipo 1,No
3026,787,21,397,30449,365493,Soltero,0,Tipo 4,No
4714,1414,403,557,37411,358242,Separado,0,Tipo 1,No
2974,744,346,746,15982,360791,Casado,4,Tipo 6,No
2550,510,73,434,15890,201278,Separado,3,Tipo 5,No
3504,1051,447,351,29890,313542,Soltero,0,Tipo 0,No
2024,486,398,494,14569,234991,Separado,3,Tipo 7,No
3084,678,432,448,17211,378697,Casado,3,Tipo 5,No
3234,809,368,441,22523,213521,Separado,3,Tipo 8,No
4749,1377,355,304,34841,328575,Separado,2,Tipo 6,No
3602,1081,145,490,11083,394180,Separado,0,Tipo 2,No
4203,1219,203,412,19568,310442,Separado,4,Tipo 8,No
3685,1069,111,481,28379,282992,Casado,2,Tipo 7,No
3039,1003,447,546,36807,274577,Soltero,0,Tipo 1,No
2485,572,90,432,18464,304018,Casado,2,Tipo 7,No
3641,837,186,627,27808,273334,Separado,3,Tipo 7,No
2151,688,95,382,12203,339143,Separado,1,Tipo 6,No
2077,644,182,723,12596,310082,Soltero,0,Tipo 3,No
4276,941,390,728,11718,294150,Soltero,0,Tipo 3,No
2028,487,411,568,33194,264287,Separado,1,Tipo 5,No
4943,1186,402,570,27644,390089,Soltero,0,Tipo 2,No
2593,596,248,708,16779,275509,Separado,2,Tipo 8,No
2064,454,199,666,38718,356201,Soltero,0,Tipo 2,No
2614,732,375,527,21365,294601,Soltero,0,Tipo 2,No
4507,811,161,687,36284,211998,Separado,3,Tipo 6,Si
2028,690,167,325,37309,284984,Separado,0,Tipo 3,No
2022,384,88,701,22210,291439,Separado,3,Tipo 7,No
3608,686,195,406,36506,350589,Casado,1,Tipo 8,No
3973,1112,440,630,17385,221634,Separado,2,Tipo 7,No
3395,1120,234,597,37479,239707,Casado,2,Tipo 8,No
4434,1375,167,734,29498,201983,Soltero,0,Tipo 0,No
4025,1369,32,493,38752,225841,Casado,4,Tipo 5,Si
2308,577,152,657,33131,257224,Soltero,0,Tipo 2,No
3169,1014,429,705,14867,177454,Separado,2,Tipo 7,No
4708,1459,84,567,32314,379520,Soltero,0,Tipo 0,No
2265,430,394,745,19218,248465,Soltero,0,Tipo 2,No
2008,643,257,494,25658,180374,Separado,3,Tipo 5,No
3796,1025,323,316,35445,210261,Soltero,0,Tipo 1,No
4653,1024,447,703,16952,392957,Soltero,0,Tipo 3,No
3390,881,194,584,34601,304112,Separado,2,Tipo 5,No
2969,623,72,620,29663,289205,Separado,2,Tipo 6,No
4169,1292,48,333,28503,239872,Separado,1,Tipo 7,Si
4054,1095,371,440,22183,223971,Casado,0,Tipo 3,No
3831,690,352,488,10723,363120,Soltero,0,Tipo 2,No
3961,1030,270,475,21880,280421,Separado,3,Tipo 8,No
3184,955,276,684,35565,388025,Casado,3,Tipo 8,No
3334,867,369,652,19985,376892,Casado,2,Tipo 5,No
3988,1157,105,382,11980,257580,Soltero,0,Tipo 4,No
